Sr. No,Date,Achievement Title,Description,Linkedin post,Remark
1,17/02/2026,Student Researchers’ Case Study Shortlisted Among Top 23 Across the Global South by IndiaAI,"The research case study carried out by our student researchers has been published in the “Casebook on Real-World Impact of AI in Gender Empowerment,” released during the IndiaAI Impact Summit 2026.

The case study titled “AI-Driven Thermalytix: A Privacy-Preserving and Non-Invasive Approach to Democratizing Breast Cancer Screening for Women in the Global South” is featured in the official compendium, which brings together 23 real-world AI case studies selected from across the Global South.


View the publication:
• IndiaAI Website – Casebook on Real-World Impact of AI in Gender Empowerment
https://lnkd.in/gMjDcFgj

• Official Casebook PDF
https://lnkd.in/gTrepK8X

This research case study was carried out by the student team under the Student Research Lab (SRL), M. M. Patel Students Research Project Cell, which mentors and prepares students to undertake impactful research and innovation.

KSV Student Researchers Team
• Janki Chitroda, CE, LDRP-ITR, KSV
• Yashvi Chavda, CE, LDRP-ITR, KSV
• Krishna Bhatt, CE, LDRP-ITR, KSV

The team was also recognized for this achievement by the Principal, Dr. Gargi Rajpara Ma’am, and the Head of the Computer Engineering Department, Dr. Ashishkumar Patel appreciating their contribution to impactful research and innovation.

Congratulations to the team for contributing towards AI-driven healthcare innovation and social impact.",https://www.linkedin.com/feed/update/urn:li:activity:7440656824435052544,"Take cover photo from below post:
https://www.linkedin.com/feed/update/urn:li:activity:7429485170849845248"
2,22 March 2026,Team Qubits – Runner-Up at Odoo × Gujarat Vidyapith Hackathon 2026,"Proud to share that Team Qubits, a team from Students Research Lab (SRL), M. M. Patel Students Research Project Cell, KSV secured the Runner-Up position at the national-level Odoo × Gujarat Vidyapith Hackathon 2026, competing among teams from across the country.

Out of 2300+ registrations nationwide, 239 finalists across 68 teams advanced to the grand finale held on 21st and 22nd March 2026 at Gujarat Vidyapith, Ahmedabad.

Demonstrating exceptional problem-solving skills and collaboration, Team Qubits secured the Runner-Up position along with a cash prize of ₹35,000. The team comprised Kandarp Gajjar (CE, LDRP ITR, KSV), Ridham Patel(IT, LDRP ITR, KSV), and Harsh Dodiya (CE, LDRP ITR, KSV).

This achievement is a testament to their dedication, innovation, and strong team spirit. It also highlights the growing culture of excellence and technical capability fostered at Students Research Lab (SRL), M. M. Patel Students Research Project Cell, and Kadi Sarva Vishwavidyalaya (KSV).

A proud moment for the entire institution and a well-deserved accomplishment!",https://www.linkedin.com/feed/update/urn:li:activity:7443333145090854912,
3,20 March 2026,8 Teams involving 32 students shortlisted for Phase-2 of the AISEHack National Hackathon,"Artificial Intelligence for Science and Engineering Hackathon (AISEHack): Innovation, Collaboration & Impact

We are proud to share the participation of students from the Students Research Lab(SRL), M. M. Patel Students Research Project Cell, KSV (MMPSRPC), Kadi Sarva Vishwavidyalaya(KSV) in AISE Hackathon, organised by Anusandhan National Research Foundation (ANRF), IBM, Indian Institute of Technology, Delhi, International Institute of Information Technology Hyderabad (IIITH) Hyderabad, and E-Cell IIITH, a dynamic hackathon that brought together bright minds to solve real-world challenges using cutting-edge technology.

8 teams involving 32 students from Students Research Lab(SRL), M.M. Patel Students Research Project Cell (MMPSRPC), Kadi Sarva Vishwavidyalaya(KSV) are shortlisted for Phase-2 of the hackathon, showcasing their talent, dedication, and innovative thinking.

Shortlisted Teams & Members:

🔹 Team 1:
• Honey Modha, CE, LDRP-ITR, KSV
• Shlok Thakkar, CE, LDRP-ITR, KSV
• Dhrupalsinh Solanki, CE, LDRP-ITR, KSV

🔹 Team 2:
• Charmi padh CE, LDRP-ITR, KSV
• Prem Raichura, CE, LDRP-ITR, KSV
• Zenisha Devani, CE, LDRP-ITR, KSV
• Rohan Thakar, CE, LDRP-ITR, KSV
• Zeel Kanudawala, CE, LDRP-ITR, KSV

🔹 Team 3:
• Krishna Bhatt CE, LDRP-ITR, KSV
• Rachita Devda, CE, LDRP-ITR, KSV
• Yashvi Chavda, CE, LDRP-ITR, KSV

🔹 Team 4:
• Jenish Sorathiya, IT, VSITR, KSV
• Henit Panchal, CE, LDRP-ITR, KSV
• Krish Patel, LDRP-ITR, KSV
• Hetvi Hinsu, CE, LDRP-ITR, KSV

🔹 Team 5:
• Hemant Pande CE, LDRP-ITR, KSV
• Jainee Patel, CE, LDRP-ITR, KSV
• Banshari Patel, CE, LDRP-ITR, KSV
• Aayush Pandya, CE, LDRP-ITR, KSV
• Chrisha Dabhi, CE, LDRP-ITR, KSV

🔹 Team 6:
• Mahi Parmar, CE, LDRP-ITR, KSV
• Yajurshi Velani, CE, LDRP-ITR, KSV
• Pragati Varu, CE, LDRP-ITR, KSV
• Tanisha Sharma, CE, LDRP-ITR, KSV
• HARSH PAREKH, EC, LDRP-ITR, KSV

🔹 Team 7:
• Yash Kumavat, CE, LDRP-ITR, KSV
• Antra Gajjar, CE, LDRP-ITR, KSV
• Rudr Halvadiya, CE, LDRP-ITR, KSV
• Dev Kansara, CE, LDRP-ITR, KSV
• Bhagyashree Jadeja, CE, LDRP-ITR, KSV

🔹 Team 8:
• Mihir Patel, CE, LDRP-ITR, KSV
• Heny Patel, CE, LDRP-ITR, KSV

Throughout the event, students demonstrated strong creativity, teamwork, and problem-solving skills. From ideation to execution, they developed solutions using Artificial Intelligence and emerging technologies.

We congratulate all teams for their efforts and enthusiasm.",https://www.linkedin.com/feed/update/urn:li:activity:7446798610245062656,
